E,N,W,name,flow,S,h,,
-117.211975,52.128328,117.211975,At95,43,1.34,0.71,,
-117.212028,52.128343,117.212028,At96,42,0.47,0.28,,
-117.211944,52.128296,117.211944,At97,43,0.85,0.45,,
-117.211952,52.128314,117.211952,At98,42,1.29,0.53,,
-117.211952,52.128314,117.211952,At99,48,0.88,0.48,,
-117.211952,52.128368,117.211952,At100,35,0.67,0.5,,
-117.212028,52.128366,117.212028,At101,47,1.29,0.79,,
-117.212053,52.128389,117.212053,At102,45,1.02,0.46,,
-117.21202,52.128399,117.21202,At103,37,1.65,0.82,,
-117.212092,52.128416,117.212092,At104,44,0.59,0.38,,
-117.212181,52.128502,117.212181,At105a,38,1.45,0.95,,
-117.212181,52.128502,117.212181,At105b,38,2.3,0.95,,
-117.212332,52.128449,117.212332,At106,47,2.16,1.02,,
-117.212356,52.128588,117.212356,At107,38,0.64,0.26,,
-117.212447,52.128602,117.212447,At108,38,0.73,0.46,,
-117.211976,52.128459,117.211976,At109,36,0.56,0.25,,
-117.211736,52.128444,117.211736,At110,35,0.87,0.49,,
-117.211767,52.128459,117.211767,At111,38,1.02,0.46,,
-117.211828,52.128483,117.211828,At112,37,0.76,0.33,,
-117.211833,52.128505,117.211833,At113,24,0.59,0.27,,
-117.211803,52.128574,117.211803,At114,34,1.06,0.49,,
-117.211477,52.128634,117.211477,At115,40,1.03,0.47,,
-117.211648,52.128502,117.211648,At116,27,0.42,0.2,,
-117.211265,52.128757,117.211265,At117,54,0.76,0.37,,
-117.211568,52.12863,117.211568,At118,52,1.22,0.51,,
-117.211599,52.128918,117.211599,At119,49,0.77,0.33,,
-117.211744,52.128929,117.211744,At120,47,0.97,0.49,,
-117.211511,52.129088,117.211511,At121,44,0.47,0.23,,
-117.211501,52.129034,117.211501,At122,40,1.35,0.38,,
-117.211836,52.129152,117.211836,At123,47,0.8,0.4,,
-117.211921,52.129001,117.211921,At124,35,1.78,0.7,,
-117.212089,52.129068,117.212089,At125a,50,2.9,0.87,,
